"target_eB","target_eB_label","achieved_eB","n","scenario","method","reps","valid_reps","selected_q","common_q","decision_q","noise_q","TPR","FPR","Precision","F1","ARI","MSE_mu","MSE_kappa","MSE_eta","zero_support_refit_reps","completed_cell"
"0.05","5.0%","0.0454","1000","OBE5_heterogeneous_kappa","E-L","100","100","197.67","3.96","16","177.71","1","0.987336956521739","0.0809429857843881","0.149763654233163","0.849414203367437","0.000526138623894876","6.23684767044905","0.72178937832982","0","True"
"0.05","5.0%","0.0458","300","OBE5_equal_kappa","D-AGL","100","100","60.72","4","16","40.72","1","0.24304347826087","0.263504611330698","0.417101147028154","0.836052963812734","0.000664247292086613","20.0838014577735","1.21656576072165","0","True"
"0.05","5.0%","0.0458","300","OBE5_equal_kappa","D-GL","100","100","42.23","4","16","22.23","1","0.142554347826087","0.378877575183519","0.549544908122961","0.860035622669289","0.000448610759551976","12.7591334011563","0.791564318686167","0","True"
"0.05","5.0%","0.0458","300","OBE5_equal_kappa","D-L","100","100","199.71","4","16","179.71","1","0.998423913043478","0.0801161684442442","0.148347318158639","0.781857455450412","0.00132547391388702","63.6794883272924","2.70416466722843","0","True"
"0.05","5.0%","0.0458","300","OBE5_equal_kappa","E-AGL","100","100","16.73","0.03","16","0.7","1","0.00396739130434783","0.956365809922295","0.977696303085854","0.873905915027649","0.0018505874043556","57.1665365614926","0.222238594780229","0","True"
"0.05","5.0%","0.0458","300","OBE5_equal_kappa","E-GL","100","100","17.42","0.07","16","1.35","1","0.00771739130434783","0.918484500574053","0.957510472770796","0.870393792695276","0.00185561609348301","54.3649679786455","0.261699081659723","0","True"
"0.05","5.0%","0.0458","300","OBE5_equal_kappa","E-L","100","100","198.17","3.91","16","178.26","1","0.990054347826087","0.0807387596508049","0.149414016902461","0.787072205709215","0.00135591264330277","61.1726829385952","2.6843856405867","0","True"
"0.05","5.0%","0.0454","300","OBE5_heterogeneous_kappa","D-AGL","100","100","71.36","4","16","51.3599999999999","1","0.300869565217391","0.224215246636771","0.366300366300366","0.818274207410228","0.000957200267655571","31.8558551512327","1.46789978285308","0","True"
"0.05","5.0%","0.0454","300","OBE5_heterogeneous_kappa","D-GL","100","100","41.31","4","16","21.31","1","0.137554347826087","0.387315419995159","0.558366777176758","0.853673570271851","0.00055753822694786","14.2714637062316","0.782594184246389","0","True"
"0.05","5.0%","0.0454","300","OBE5_heterogeneous_kappa","D-L","100","100","199.69","4","16","179.69","1","0.998315217391304","0.0801241924983725","0.148361073763271","0.766487176715122","0.00161147885653535","78.8170443844425","2.86379709758422","0","True"
"0.05","5.0%","0.0454","300","OBE5_heterogeneous_kappa","E-AGL","100","100","17.95","0.04","16","1.91","1","0.0105978260869565","0.891364902506964","0.942562592047128","0.866333917133632","0.00153868499141686","26.2103825424045","0.270780001100182","0","True"
"0.05","5.0%","0.0454","300","OBE5_heterogeneous_kappa","E-GL","100","100","17.9","0.07","16","1.83000000000001","1","0.0103260869565217","0.893854748603352","0.943952802359882","0.866705212967937","0.00154111046644192","24.956854520267","0.291237962875119","0","True"
"0.05","5.0%","0.0454","300","OBE5_heterogeneous_kappa","E-L","100","100","198.22","3.95","16","178.27","1","0.990326086956522","0.0807183937039653","0.149379142937167","0.769249358598028","0.00161896079215194","73.5332647122727","2.82674392872477","0","True"
"0.10","10.0%","0.1124","1000","OBE5_equal_kappa","D-AGL","100","100","20.01","4","16","0.01","1","0.0217934782608696","0.79960019990005","0.888642043876701","0.720732791293456","4.99251290003175e-05","1.64321397088779","0.0848869747084657","0","True"
"0.10","10.0%","0.1124","1000","OBE5_equal_kappa","D-GL","100","100","20.14","4","16","0.14","1","0.0225","0.794438927507448","0.885445489762037","0.719933057589594","5.14098861433491e-05","1.65038239781921","0.0871918126500811","0","True"
"0.10","10.0%","0.1124","1000","OBE5_equal_kappa","D-L","100","100","199.74","4","16","179.74","1","0.998586956521739","0.0801041353759888","0.148326689533698","0.653841443103367","0.000501480993337","7.95427435344607","0.889674104215248","0","True"
"0.10","10.0%","0.1124","1000","OBE5_equal_kappa","E-AGL","100","100","16.2","0.01","16","0.190000000000001","1","0.00108695652173913","0.987654320987654","0.993788819875776","0.721588097844709","0.00339365940556119","244.49698920667","0.0703822844165507","0","True"
"0.10","10.0%","0.1124","1000","OBE5_equal_kappa","E-GL","100","100","17.19","0.05","16","1.14","1","0.00646739130434783","0.930773705642816","0.964145827056342","0.720311693023307","0.00336797567366683","238.019672511736","0.0873385914884726","0","True"
