"target_eB","achieved_eB","n","scenario","method","reps","valid_reps","selected_q","common_q","decision_q","noise_q","TPR","FPR","Precision","F1","ARI","MSE_mu","MSE_kappa","MSE_eta","zero_support_refit_reps","elapsed_sec"
0.1,0.1124,300,"equal_kappa","E-AGL",50,49,16.98,0,15.54,1.44,0.971,0.008,0.915,0.942,0.7,0.004,214.935,0.348,1,2999.871
0.1,0.1124,300,"equal_kappa","E-GL",50,50,17.18,0.04,16,1.14,1,0.006,0.931,0.964,0.7,0.004,207.379,0.308,0,2999.871
0.1,0.1052,300,"heterogeneous_kappa","D-AGL",50,50,70.86,4,16,50.86,1,0.298,0.226,0.368,0.594,0.002,1088.587,7.104,0,2999.871
0.1,0.1052,300,"heterogeneous_kappa","D-GL",50,50,39.36,4,15.8,19.56,0.988,0.128,0.401,0.571,0.627,0.001,1863.241,9.682,0,2999.871
0.1,0.1052,300,"heterogeneous_kappa","E-AGL",50,50,21.48,0.12,14.88,6.48,0.93,0.036,0.693,0.794,0.681,0.004,132.035,0.814,0,2999.871
0.1,0.1052,300,"heterogeneous_kappa","E-GL",50,50,21.88,0.18,15.52,6.18,0.97,0.035,0.709,0.819,0.688,0.003,119.271,0.852,0,2999.871
0.1,0.1124,1000,"equal_kappa","D-AGL",50,50,20.02,4,16,0.02,1,0.022,0.799,0.888,0.72,0,1.545,0.083,0,4238.451
0.1,0.1124,1000,"equal_kappa","D-GL",50,50,20.1,4,16,0.1,1,0.022,0.796,0.886,0.719,0,1.545,0.085,0,4238.451
0.1,0.1124,1000,"equal_kappa","E-AGL",50,50,16.24,0,16,0.24,1,0.001,0.985,0.993,0.72,0.003,246.446,0.069,0,4238.451
0.1,0.1124,1000,"equal_kappa","E-GL",50,50,17.34,0.04,16,1.3,1,0.007,0.923,0.96,0.719,0.003,239.691,0.088,0,4238.451
0.1,0.1052,1000,"heterogeneous_kappa","D-AGL",50,50,24.14,4,16,4.14,1,0.044,0.663,0.797,0.734,0,1.683,0.119,0,4238.451
0.1,0.1052,1000,"heterogeneous_kappa","D-GL",50,50,25.12,4,16,5.12,1,0.05,0.637,0.778,0.734,0,6.341,0.159,0,4238.451
0.1,0.1052,1000,"heterogeneous_kappa","E-AGL",50,50,21.66,0.18,16,5.48,1,0.031,0.739,0.85,0.735,0.003,146.764,0.114,0,4238.451
0.1,0.1052,1000,"heterogeneous_kappa","E-GL",50,50,20.36,0.06,16,4.3,1,0.024,0.786,0.88,0.736,0.003,149.981,0.12,0,4238.451
