"method","beta","lambda_eta","lambda_mu","lambda_kappa","ARI","loglik","converged","iter","nnz_fraction","selected_q","TPR","FPR","Precision","F1","mu_contrast_norm","eta_contrast_norm","mu_topq_recall","eta_topq_recall","kappa_low_hat","kappa_high_hat","kappa_ratio_hat","MSE_mu","MSE_kappa","MSE_eta_contrast","df","BIC","EBIC","scenario","rep","n","d","q","mu_cos","kappa_low","kappa_high","true_eta_contrast_norm"
"Separate 2D path/grid BIC",NA,NA,109.633340345085,0,0.391242694967965,90392.3280842988,TRUE,2,0.19,19,1,0.1,0.526315789473684,0.689655172413793,0.164332658729971,21.0188503160105,0.7,1,19.8233461354524,40.3222775084941,2.03408028256042,8.61480694162254e-05,0.0675346901703695,0.206397068212383,30,-180577.423510228,-180439.268404648,"weak_concentration",14,1000,100,10,1,20,40,20
"Separate 2D path/grid BIC + refit",NA,NA,109.633340345085,0,0.376332160850061,90409.3034908969,TRUE,8,0.19,19,1,0.1,0.526315789473684,0.689655172413793,0.176041801549654,21.2545432872984,0.4,1,20.0785309974564,40.7282891524424,2.02844964891117,0.000128020942504242,0.268286103563343,0.302295248085204,39,-180549.204525913,-180369.60288866,"weak_concentration",14,1000,100,10,1,20,40,20
"Eta path BIC",NA,0.83595569780638,NA,NA,0.376180173991598,90428.0833346452,TRUE,10,0.14,14,1,0.0444444444444444,0.714285714285714,0.833333333333333,0.148815669901115,17.2008785503749,0.7,1,23.1002141625354,39.7002259631016,1.71860856716595,0.000202475295225066,4.85059616339172,0.289218217496067,115,-180061.774812207,-179532.180240819,"weak_concentration",14,1000,100,10,1,20,40,20
"Eta path BIC + refit",NA,0.83595569780638,NA,NA,0.373843340942663,90395.244307954,TRUE,18,0.14,14,1,0.0444444444444444,0.714285714285714,0.833333333333333,0.209764987386664,21.593702423028,0.6,1,20.5083446811357,41.2228019540785,2.01005018176805,0.000123395096534588,0.876829466868609,0.366478178658814,29,-180590.163712817,-180456.613777424,"weak_concentration",14,1000,100,10,1,20,40,20
"Rossi path BIC",48.4503173783363,NA,NA,NA,0.352188066114058,90800.7946806427,TRUE,2,0.71,71,1,0.677777777777778,0.140845070422535,0.246913580246914,0.153072390027595,21.0207386601672,0.5,1,19.9206250797194,40.4869478674462,2.03241352645429,0.000101603024950415,0.12170930179,0.180978677162463,87,-181000.614652014,-180599.964845833,"weak_concentration",15,1000,100,10,1,20,40,20
"Rossi path BIC + refit",48.4503173783363,NA,NA,NA,0.308444171303726,90836.1586370851,TRUE,14,0.71,71,1,0.677777777777778,0.140845070422535,0.246913580246914,0.347479571812546,22.2246699027973,0,1,20.3176756256023,40.200250500121,1.97858511184541,0.000496522155538623,0.0705090329502378,0.790501171464081,143,-180684.508269276,-180025.968932679,"weak_concentration",15,1000,100,10,1,20,40,20
"Separate 2D path/grid BIC",NA,NA,53.0497851147355,0,0.34273853446366,90795.6247585539,TRUE,2,0.68,68,1,0.644444444444444,0.147058823529412,0.256410256410256,0.145603259862396,20.9823563132472,0.5,1,19.6673977068072,40.2459912599318,2.04633027001849,8.99796607633406e-05,0.0855679926999726,0.161216364784246,84,-181010.998073673,-180624.16377805,"weak_concentration",15,1000,100,10,1,20,40,20
"Separate 2D path/grid BIC + refit",NA,NA,53.0497851147355,0,0.317412966534116,90832.2839173247,TRUE,19,0.68,68,1,0.644444444444444,0.147058823529412,0.256410256410256,0.344920266489425,22.0830672448007,0,1,19.9672122409376,39.7947075241473,1.99300268079279,0.000502037617064803,0.0216100188930419,0.731361142859749,137,-180718.205361429,-180087.297045949,"weak_concentration",15,1000,100,10,1,20,40,20
"Eta path BIC",NA,0.845885230134841,NA,NA,0.335735162833846,90789.8461370329,TRUE,5,0.11,11,1,0.0111111111111111,0.909090909090909,0.952380952380952,0.113747168458665,16.3606406861712,0.6,1,21.5607078740679,37.5976115380983,1.74380227948447,0.00018324991029802,4.10363969502795,0.206072046705014,112,-180806.02368282,-180290.244621989,"weak_concentration",15,1000,100,10,1,20,40,20
"Eta path BIC + refit",NA,0.845885230134841,NA,NA,0.338061527269373,90755.1762282984,TRUE,8,0.11,11,1,0.0111111111111111,0.909090909090909,0.952380952380952,0.140674892023742,20.8058118324314,0.9,1,19.1202107793856,39.5631067948633,2.0691773355092,6.57813694998663e-05,0.482452372701995,0.119941971116372,23,-181351.47408518,-181245.555170902,"weak_concentration",15,1000,100,10,1,20,40,20
"Rossi path BIC",49.0941593101798,NA,NA,NA,0.398822284929541,90763.9415071457,TRUE,2,0.69,69,1,0.655555555555556,0.144927536231884,0.253164556962025,0.174601088182989,20.9923747925097,0.7,1,19.9540673570646,40.3533910516513,2.02231406407298,0.000128811181158159,0.0634975215371128,0.251162048971452,86,-180933.816060299,-180537.771424304,"weak_concentration",16,1000,100,10,1,20,40,20
"Rossi path BIC + refit",49.0941593101798,NA,NA,NA,0.345088503118442,90802.2169298003,TRUE,9,0.69,69,1,0.655555555555556,0.144927536231884,0.253164556962025,0.353453462365264,22.2688461915289,0,1,20.6202239391444,40.4139667840811,1.95991890793006,0.000503772616249736,0.278023116505128,0.889050259255995,139,-180644.255875822,-180004.13721997,"weak_concentration",16,1000,100,10,1,20,40,20
"Separate 2D path/grid BIC",NA,NA,66.04485857349,0,0.371469532465739,90747.8877110986,TRUE,2,0.51,51,1,0.455555555555556,0.196078431372549,0.327868852459016,0.163950638900547,20.9097733569482,0.7,1,19.1971180919324,39.612262063849,2.06344837147697,0.000103534089417399,0.397480032716459,0.205509061527725,63,-181060.586839621,-180770.461117904,"weak_concentration",16,1000,100,10,1,20,40,20
"Separate 2D path/grid BIC + refit",NA,NA,66.04485857349,0,0.331105220487921,90786.2696108783,TRUE,9,0.51,51,1,0.455555555555556,0.196078431372549,0.327868852459016,0.321999873405023,21.795770927844,0,1,19.9761643804614,39.7913002795603,1.99193896894841,0.000439363976503217,0.0220618550351965,0.685206049637991,103,-180861.040428021,-180386.707898865,"weak_concentration",16,1000,100,10,1,20,40,20
"Eta path BIC",NA,0.924422228175029,NA,NA,0.359357552425937,90748.0944227915,TRUE,8,0.1,10,1,0,1,1,0.128672287450766,15.5960439169811,0.8,1,22.1640708217421,37.3147649660849,1.68357001140244,0.000208315102504407,5.94684485444029,0.32027267880823,111,-180729.428009616,-180218.254118971,"weak_concentration",16,1000,100,10,1,20,40,20
"Eta path BIC + refit",NA,0.924422228175029,NA,NA,0.388763343453549,90706.6553326029,TRUE,7,0.1,10,1,0,1,1,0.0989056807403395,20.4706948034881,1,1,19.3168478764437,39.6039283685581,2.05022727423629,3.08348038020391e-05,0.311784780576285,0.0703771874049757,21,-181268.247804347,-181171.539230441,"weak_concentration",16,1000,100,10,1,20,40,20
"Rossi path BIC",50.9636614304008,NA,NA,NA,0.388778828119361,90553.4906992875,TRUE,2,0.59,59,1,0.544444444444444,0.169491525423729,0.289855072463768,0.16227165988437,20.4868267021014,0.6,1,18.6822749787879,38.6990757804096,2.07143272563694,9.9141825281896e-05,1.71440152832262,0.189626264462679,75,-180588.899752651,-180243.511988702,"weak_concentration",17,1000,100,10,1,20,40,20
"Rossi path BIC + refit",50.9636614304008,NA,NA,NA,0.356969154902802,90589.4168994806,TRUE,10,0.59,59,1,0.544444444444444,0.169491525423729,0.289855072463768,0.34636979922967,21.8033801283705,0,1,19.3872355796398,39.0003787213758,2.01165238649772,0.000444158257948625,0.687361467768834,0.77368840388735,119,-180356.810920762,-179808.79566863,"weak_concentration",17,1000,100,10,1,20,40,20
"Separate 2D path/grid BIC",NA,NA,51.8175928797035,0,0.391282418157066,90552.4984591462,TRUE,2,0.57,57,1,0.522222222222222,0.175438596491228,0.298507462686567,0.162451113989338,20.4793167024304,0.6,1,18.6199591363809,38.6304536398815,2.07467982915187,9.93352424890311e-05,1.89008500888618,0.18763337240587,73,-180600.730782927,-180264.55335935,"weak_concentration",17,1000,100,10,1,20,40,20
"Separate 2D path/grid BIC + refit",NA,NA,51.8175928797035,0,0.371480690155222,90586.7991604413,TRUE,10,0.57,57,1,0.522222222222222,0.175438596491228,0.298507462686567,0.337704696403232,21.720647253251,0,1,19.2632267399489,38.9174901742738,2.0202996465574,0.000422762279699729,0.857331179760034,0.735895626915682,115,-180379.2064638,-179849.611892411,"weak_concentration",17,1000,100,10,1,20,40,20
"Eta path BIC",NA,0.989073025018583,NA,NA,0.386281866564863,90535.3149791733,TRUE,14,0.11,11,1,0.0111111111111111,0.909090909090909,0.952380952380952,0.139595291085937,14.3472232960171,0.6,1,22.0425716947883,35.8428211239742,1.62607256631715,0.000168063471016804,10.7271176678128,0.488023012994737,112,-180296.961367101,-179781.18230627,"weak_concentration",17,1000,100,10,1,20,40,20
"Eta path BIC + refit",NA,0.989073025018583,NA,NA,0.406458013771172,90520.5303914906,TRUE,6,0.11,11,1,0.0111111111111111,0.909090909090909,0.952380952380952,0.161632901431664,20.0564466533085,0.9,1,19.0688468270556,38.6395318740608,2.02631717714768,8.51556510096275e-05,1.35895987659048,0.156164379314813,23,-180882.182411565,-180776.263497287,"weak_concentration",17,1000,100,10,1,20,40,20
"Rossi path BIC",179.61144905919,NA,NA,NA,0.324219421078621,90569.9399386079,TRUE,4,0.1,10,1,0,1,1,0.153364714041288,21.2679505340759,1,1,21.0469123284112,41.8224266085138,1.98710508961725,9.02515641496102e-05,2.20863208339914,0.176188357146335,21,-180994.817016357,-180898.108442451,"weak_concentration",18,1000,100,10,1,20,40,20
"Rossi path BIC + refit",179.61144905919,NA,NA,NA,0.326504522685522,90571.5850399731,TRUE,6,0.1,10,1,0,1,1,0.0985527352368522,21.0883755976352,1,1,21.0919832719669,41.9754823864144,1.99011547871856,4.19816726947095e-05,2.54747906264453,0.0829317815332432,21,-180998.107219088,-180901.398645182,"weak_concentration",18,1000,100,10,1,20,40,20
"Separate 2D path/grid BIC",NA,NA,179.611449059613,0,0.324219421078621,90569.9399386079,TRUE,4,0.1,10,1,0,1,1,0.153364714042155,21.2679505340648,1,1,21.046912328388,41.8224266084747,1.98710508961757,9.02515641506211e-05,2.20863208330368,0.176188357147216,21,-180994.817016357,-180898.108442451,"weak_concentration",18,1000,100,10,1,20,40,20
"Separate 2D path/grid BIC + refit",NA,NA,179.611449059613,0,0.326504522685522,90571.5850399731,TRUE,6,0.1,10,1,0,1,1,0.0985527352369642,21.0883755976248,1,1,21.0919832719505,41.9754823863872,1.99011547871882,4.1981672694816e-05,2.54747906257284,0.0829317815330097,21,-180998.107219088,-180901.398645182,"weak_concentration",18,1000,100,10,1,20,40,20
"Eta path BIC",NA,0.869674556778977,NA,NA,0.257303270814288,90603.4225698086,TRUE,23,0.11,11,1,0.0111111111111111,0.909090909090909,0.952380952380952,0.120555055932519,17.2532022771449,0.5,1,24.0525322102985,40.8864384278705,1.69988083044181,0.000157028229687754,8.60439520095601,0.205309784264606,112,-180433.176548371,-179917.397487541,"weak_concentration",18,1000,100,10,1,20,40,20
"Eta path BIC + refit",NA,0.869674556778977,NA,NA,0.30399858328234,90577.5695605728,TRUE,18,0.11,11,1,0.0111111111111111,0.909090909090909,0.952380952380952,0.141488167368787,21.5285366369604,0.9,1,21.4400182242192,42.5402404914658,1.98415132144856,7.12967527176411e-05,4.26323712028296,0.17017702957606,23,-180996.260749729,-180890.341835451,"weak_concentration",18,1000,100,10,1,20,40,20
"Rossi path BIC",16.8567417511612,NA,NA,NA,0.267609117878643,90577.8806297803,TRUE,2,0.91,91,1,0.9,0.10989010989011,0.198019801980198,0.27161864095477,20.9524368670673,0,1,22.4519169607634,41.6861196628641,1.85668420811079,0.000265838525374592,4.42744814998813,0.718307112057748,151,-180112.690212434,-179417.30951435,"weak_concentration",19,1000,100,10,1,20,40,20
"Rossi path BIC + refit",16.8567417511612,NA,NA,NA,0.259370599697945,90586.5685374699,TRUE,19,0.91,91,1,0.9,0.10989010989011,0.198019801980198,0.372560159193828,21.6540397610016,0,1,22.5425432861008,40.9983425804937,1.81870971966913,0.00046432474239828,3.73060713486154,1.28316031958456,183,-179909.017858886,-179066.27171485,"weak_concentration",19,1000,100,10,1,20,40,20
"Separate 2D path/grid BIC",NA,NA,25.3019754257256,0,0.278080405456353,90569.2895378873,TRUE,2,0.84,84,1,0.822222222222222,0.119047619047619,0.212765957446808,0.232510381809101,20.6554438653006,0.1,1,22.3993425813711,41.7911225073414,1.86572986932651,0.000202500532807637,4.48248232954271,0.537502417091826,129,-180247.478644786,-179653.411690793,"weak_concentration",19,1000,100,10,1,20,40,20
"Separate 2D path/grid BIC + refit",NA,NA,25.3019754257256,0,0.251267209159907,90585.2907744336,TRUE,20,0.84,84,1,0.822222222222222,0.119047619047619,0.212765957446808,0.367104860850723,21.6126086242191,0,1,22.5216044545192,41.0303021711481,1.82181967781229,0.000453187501984984,3.71000579446186,1.24213477473584,169,-180003.170906719,-179224.897145287,"weak_concentration",19,1000,100,10,1,20,40,20
"Eta path BIC",NA,0.938887064687943,NA,NA,0.280197405226537,90512.9503433365,TRUE,16,0.11,11,1,0.0111111111111111,0.909090909090909,0.952380952380952,0.0984683596181556,13.0800765046558,0.9,1,24.600314001935,37.335421649626,1.51768069491671,0.000125885776317862,14.1314333508406,0.617506147962645,112,-180252.232095427,-179736.453034596,"weak_concentration",19,1000,100,10,1,20,40,20
"Eta path BIC + refit",NA,0.938887064687943,NA,NA,0.299608093967412,90499.8956678748,TRUE,18,0.11,11,1,0.0111111111111111,0.909090909090909,0.952380952380952,0.115973736965001,19.1917306824827,0.9,1,21.2499482295563,40.1404219911754,1.88896563688304,4.28660587984334e-05,0.791044456088265,0.156993805914402,23,-180840.912964333,-180734.994050055,"weak_concentration",19,1000,100,10,1,20,40,20
"Rossi path BIC",62.236638309332,NA,NA,NA,0.317421368797834,90693.3603297115,TRUE,2,0.52,52,1,0.466666666666667,0.192307692307692,0.32258064516129,0.170762429963915,20.8526405374685,0.8,1,19.5114300270089,39.8136627160995,2.04053022566705,0.000108847059310599,0.136711100939953,0.212454093009307,66,-180930.80881101,-180626.867578735,"weak_concentration",20,1000,100,10,1,20,40,20
"Rossi path BIC + refit",62.236638309332,NA,NA,NA,0.308445639349399,90735.9079845832,TRUE,13,0.52,52,1,0.466666666666667,0.192307692307692,0.32258064516129,0.352375766559308,22.146520205505,0.1,1,20.6166747795601,40.2968816862402,1.95457716227797,0.000446019379583563,0.234213259685138,0.911907866382413,105,-180746.501664873,-180262.958795345,"weak_concentration",20,1000,100,10,1,20,40,20
"Separate 2D path/grid BIC",NA,NA,62.2366383093321,0,0.317421368797834,90693.3603297115,TRUE,2,0.52,52,1,0.466666666666667,0.192307692307692,0.32258064516129,0.170762429963913,20.8526405374685,0.8,1,19.511430027009,39.8136627160995,2.04053022566705,0.000108847059310597,0.136711100939931,0.212454093009304,66,-180930.80881101,-180626.867578735,"weak_concentration",20,1000,100,10,1,20,40,20
"Separate 2D path/grid BIC + refit",NA,NA,62.2366383093321,0,0.308445639349399,90735.9079845832,TRUE,13,0.52,52,1,0.466666666666667,0.192307692307692,0.32258064516129,0.352375766559307,22.146520205505,0.1,1,20.6166747795601,40.2968816862403,1.95457716227797,0.00044601937958356,0.234213259685186,0.911907866382416,105,-180746.501664873,-180262.958795344,"weak_concentration",20,1000,100,10,1,20,40,20
"Eta path BIC",NA,1.05509390872701,NA,NA,0.321954435502726,90680.0872136878,TRUE,8,0.11,11,1,0.0111111111111111,0.909090909090909,0.952380952380952,0.13123260056577,14.5024259350404,0.8,1,22.9405348119407,36.9308758233608,1.60985243483243,0.000157428037112368,9.0331340959331,0.475234997256537,112,-180586.50583613,-180070.726775299,"weak_concentration",20,1000,100,10,1,20,40,20
"Eta path BIC + refit",NA,1.05509390872701,NA,NA,0.308454360284313,90668.1539573251,TRUE,14,0.11,11,1,0.0111111111111111,0.909090909090909,0.952380952380952,0.169066046244178,20.6029184346435,0.9,1,19.5398708242734,39.5988762827579,2.02656796653774,9.46375560062856e-05,0.186309547444474,0.192407575993314,23,-181177.429543234,-181071.510628956,"weak_concentration",20,1000,100,10,1,20,40,20
"Rossi path BIC",385.28349163625,NA,NA,NA,0.992007903194726,99529.3084751949,TRUE,2,0.11,11,1,0.0111111111111111,0.909090909090909,0.952380952380952,0.365454800005601,80.5893413780274,1,1,19.8755162639817,98.8205662720567,4.97197481361221,0.000154401153920045,0.70328005957161,0.130071928251548,22,-198906.646334252,-198805.33259016,"mean_and_concentration",1,1000,100,10,0.95,20,100,81.2403840463596
"Rossi path BIC + refit",385.28349163625,NA,NA,NA,0.992007903194726,99547.8859734588,TRUE,2,0.11,11,1,0.0111111111111111,0.909090909090909,0.952380952380952,0.314419227755759,80.0536200879409,0.9,1,20.0518620768084,98.8718270435602,4.93080526211646,2.40527888512535e-05,0.637731947326465,0.0417771091883866,23,-198936.893575501,-198830.974661223,"mean_and_concentration",1,1000,100,10,0.95,20,100,81.2403840463596
"Separate 2D path/grid BIC",NA,NA,385.28349163625,0,0.992007903194726,99529.3084751949,TRUE,2,0.11,11,1,0.0111111111111111,0.909090909090909,0.952380952380952,0.365454800005601,80.5893413780274,1,1,19.8755162639817,98.8205662720567,4.97197481361221,0.000154401153920045,0.70328005957161,0.130071928251548,22,-198906.646334252,-198805.33259016,"mean_and_concentration",1,1000,100,10,0.95,20,100,81.2403840463596
"Separate 2D path/grid BIC + refit",NA,NA,385.28349163625,0,0.992007903194726,99547.8859734588,TRUE,2,0.11,11,1,0.0111111111111111,0.909090909090909,0.952380952380952,0.314419227755759,80.0536200879409,0.9,1,20.0518620768084,98.8718270435602,4.93080526211646,2.40527888512535e-05,0.637731947326465,0.0417771091883866,23,-198936.893575501,-198830.974661223,"mean_and_concentration",1,1000,100,10,0.95,20,100,81.2403840463596
"Eta path BIC",NA,1.61411019988801,NA,NA,0.995999951253387,99579.3128311708,TRUE,2,0.11,11,1,0.0111111111111111,0.909090909090909,0.952380952380952,0.341699430984298,75.4397863062317,0.9,1,22.9606329740619,96.6628903092031,4.20994013616266,0.000151149425924683,9.95082434775668,0.374214163869713,112,-198384.957071096,-197869.178010265,"mean_and_concentration",1,1000,100,10,0.95,20,100,81.2403840463596
"Eta path BIC + refit",NA,1.61411019988801,NA,NA,0.992007903194726,99546.1000646681,TRUE,3,0.11,11,1,0.0111111111111111,0.909090909090909,0.952380952380952,0.318428164303285,80.0653569872398,0.9,1,20.064375576978,98.8636616398316,4.92732311855588,2.68993904664009e-05,0.64770454185077,0.0708164825776808,23,-198933.32175792,-198827.402843642,"mean_and_concentration",1,1000,100,10,0.95,20,100,81.2403840463596
"Rossi path BIC",372.098999578229,NA,NA,NA,0.988024012068976,99305.6828003032,TRUE,2,0.13,13,1,0.0333333333333333,0.769230769230769,0.869565217391304,0.33925561232521,80.0832323677717,1,1,20.205752065533,98.8407518167857,4.89171358216299,0.000139299786070376,0.693095131378395,0.166460996086319,24,-198445.579473911,-198335.055389447,"mean_and_concentration",2,1000,100,10,0.95,20,100,81.2403840463596
"Rossi path BIC + refit",372.098999578229,NA,NA,NA,0.988024012068976,99325.3272111748,TRUE,2,0.13,13,1,0.0333333333333333,0.769230769230769,0.869565217391304,0.30939777491867,79.7885315898273,0.9,1,20.3375301658594,98.9100866396793,4.8634266714313,2.85385458548068e-05,0.650918872935307,0.153142884987492,27,-198464.145029817,-198339.805434795,"mean_and_concentration",2,1000,100,10,0.95,20,100,81.2403840463596
"Separate 2D path/grid BIC",NA,NA,372.098999578229,0,0.988024012068976,99305.6828003032,TRUE,2,0.13,13,1,0.0333333333333333,0.769230769230769,0.869565217391304,0.33925561232521,80.0832323677717,1,1,20.205752065533,98.8407518167857,4.89171358216299,0.000139299786070376,0.693095131378395,0.166460996086319,24,-198445.579473911,-198335.055389447,"mean_and_concentration",2,1000,100,10,0.95,20,100,81.2403840463596
"Separate 2D path/grid BIC + refit",NA,NA,372.098999578229,0,0.988024012068976,99325.3272111748,TRUE,2,0.13,13,1,0.0333333333333333,0.769230769230769,0.869565217391304,0.30939777491867,79.7885315898273,0.9,1,20.3375301658594,98.9100866396793,4.8634266714313,2.85385458548068e-05,0.650918872935307,0.153142884987492,27,-198464.145029817,-198339.805434795,"mean_and_concentration",2,1000,100,10,0.95,20,100,81.2403840463596
"Eta path BIC",NA,1.38322957884227,NA,NA,0.995999997133853,99347.1796845895,TRUE,3,0.15,15,1,0.0555555555555556,0.666666666666667,0.8,0.328321200606263,75.7974068828283,0.9,1,22.7848638116128,96.9941656663345,4.25695612966092,0.00012158562004246,8.39525324533653,0.359696192786568,116,-197893.059756817,-197358.860015242,"mean_and_concentration",2,1000,100,10,0.95,20,100,81.2403840463596
"Eta path BIC + refit",NA,1.38322957884227,NA,NA,0.988024012068976,99332.5220770283,TRUE,3,0.15,15,1,0.0555555555555556,0.666666666666667,0.8,0.32239895618499,79.8321981397695,0.7,1,20.3954927230852,98.9035263163761,4.84928349901688,5.96665797256575e-05,0.679334516446617,0.233000307426241,31,-198450.903740408,-198308.143464643,"mean_and_concentration",2,1000,100,10,0.95,20,100,81.2403840463596
"Rossi path BIC",343.899431771339,NA,NA,NA,0.98802401226328,98844.0567421311,TRUE,2,0.16,16,1,0.0666666666666667,0.625,0.769230769230769,0.3186639451687,80.3997279552262,1,1,20.2395728785845,99.3591480187495,4.90915241219748,0.000162119050385018,0.234043213012953,0.186486348313369,27,-197501.60409173,-197377.264496708,"mean_and_concentration",3,1000,100,10,0.95,20,100,81.2403840463596
"Rossi path BIC + refit",343.899431771339,NA,NA,NA,0.98802401226328,98869.9987528873,TRUE,2,0.16,16,1,0.0666666666666667,0.625,0.769230769230769,0.315607954862614,80.3517001690336,0.9,1,20.3769327554124,99.4624276910111,4.88112852335896,5.69166835704712e-05,0.215531144747216,0.262213272494962,33,-197512.041581568,-197360.07096543,"mean_and_concentration",3,1000,100,10,0.95,20,100,81.2403840463596
"Separate 2D path/grid BIC",NA,NA,343.899431771339,0,0.98802401226328,98844.0567421311,TRUE,2,0.16,16,1,0.0666666666666667,0.625,0.769230769230769,0.3186639451687,80.3997279552262,1,1,20.2395728785845,99.3591480187495,4.90915241219748,0.000162119050385018,0.234043213012953,0.186486348313369,27,-197501.60409173,-197377.264496708,"mean_and_concentration",3,1000,100,10,0.95,20,100,81.2403840463596
"Separate 2D path/grid BIC + refit",NA,NA,343.899431771339,0,0.98802401226328,98869.9987528873,TRUE,2,0.16,16,1,0.0666666666666667,0.625,0.769230769230769,0.315607954862614,80.3517001690335,0.9,1,20.3769327554124,99.4624276910111,4.88112852335896,5.69166835704712e-05,0.215531144747216,0.262213272494962,33,-197512.041581568,-197360.07096543,"mean_and_concentration",3,1000,100,10,0.95,20,100,81.2403840463596
"Eta path BIC",NA,1.20193920624916,NA,NA,0.98802401226328,98890.0918912976,TRUE,2,0.17,17,1,0.0777777777777778,0.588235294117647,0.740740740740741,0.331374457074361,76.8906623433821,1,1,22.5351004171031,97.835004846621,4.341449695621,0.00014979493330179,5.55696906947561,0.330870321732767,118,-196965.068659675,-196421.658577729,"mean_and_concentration",3,1000,100,10,0.95,20,100,81.2403840463596
"Eta path BIC + refit",NA,1.20193920624916,NA,NA,0.98802401226328,98870.8537172566,TRUE,3,0.17,17,1,0.0777777777777778,0.588235294117647,0.740740740740741,0.320342363249914,80.3825036841568,0.9,1,20.3911148266008,99.4683388595614,4.87802357572926,6.22072732008835e-05,0.217817187919756,0.307185808255757,35,-197499.935999749,-197338.755043239,"mean_and_concentration",3,1000,100,10,0.95,20,100,81.2403840463596
"Rossi path BIC",265.294533482765,NA,NA,NA,0.99200793157521,98181.1297362631,TRUE,2,0.15,15,1,0.0555555555555556,0.666666666666667,0.8,0.35827808379025,81.3116333016253,1,1,19.9379364016509,99.6656462533458,4.99879447128205,4.76074472666129e-05,0.0578221590708734,0.079613592471067,26,-196182.657835273,-196062.923410437,"mean_and_concentration",4,1000,100,10,0.95,20,100,81.2403840463596
"Rossi path BIC + refit",265.294533482765,NA,NA,NA,0.99200793157521,98193.9486332788,TRUE,2,0.15,15,1,0.0555555555555556,0.666666666666667,0.8,0.33372832669517,81.1081221043952,0.9,1,19.9950657236149,99.7224222839827,4.98735156275114,4.09467133183632e-05,0.0385368677564218,0.0937081371697254,31,-196173.756852909,-196030.996577144,"mean_and_concentration",4,1000,100,10,0.95,20,100,81.2403840463596
"Separate 2D path/grid BIC",NA,NA,265.294533482765,0,0.99200793157521,98181.1297362631,TRUE,2,0.15,15,1,0.0555555555555556,0.666666666666667,0.8,0.35827808379025,81.3116333016253,1,1,19.9379364016509,99.6656462533458,4.99879447128205,4.7607447266613e-05,0.0578221590708734,0.0796135924710671,26,-196182.657835273,-196062.923410437,"mean_and_concentration",4,1000,100,10,0.95,20,100,81.2403840463596
"Separate 2D path/grid BIC + refit",NA,NA,265.294533482765,0,0.99200793157521,98193.9486332788,TRUE,2,0.15,15,1,0.0555555555555556,0.666666666666667,0.8,0.33372832669517,81.1081221043952,0.9,1,19.9950657236149,99.7224222839827,4.98735156275114,4.09467133183632e-05,0.0385368677564218,0.0937081371697254,31,-196173.756852909,-196030.996577144,"mean_and_concentration",4,1000,100,10,0.95,20,100,81.2403840463596
"Eta path BIC",NA,1.17716721952167,NA,NA,0.988023899340989,98213.8919426907,TRUE,2,0.17,17,1,0.0777777777777778,0.588235294117647,0.740740740740741,0.353607434408095,77.7474613517824,0.9,1,22.1272172489593,98.1089584828845,4.43385887068554,0.000139369567052933,4.05054562186238,0.183534757924522,118,-195612.668762461,-195069.258680515,"mean_and_concentration",4,1000,100,10,0.95,20,100,81.2403840463596
"Eta path BIC + refit",NA,1.17716721952167,NA,NA,0.99200793157521,98198.0680500345,TRUE,3,0.17,17,1,0.0777777777777778,0.588235294117647,0.740740740740741,0.349609655924881,81.1725148997717,0.8,1,20.072889097477,99.7240626538983,4.968097126907,7.24304792482745e-05,0.0407271197523257,0.203122564759033,35,-196154.364665305,-195993.183708795,"mean_and_concentration",4,1000,100,10,0.95,20,100,81.2403840463596
"Rossi path BIC",329.692979148728,NA,NA,NA,0.984048002110176,98246.9026992615,TRUE,2,0.13,13,1,0.0333333333333333,0.769230769230769,0.869565217391304,0.363923265639987,82.6988749636261,1,1,18.7497044992838,99.9343434676083,5.32991565128003,0.000250089860043987,0.783774809678469,0.245878891313757,24,-196328.019271827,-196217.495187364,"mean_and_concentration",5,1000,100,10,0.95,20,100,81.2403840463596
"Rossi path BIC + refit",329.692979148728,NA,NA,NA,0.984048002110176,98271.3324062981,TRUE,2,0.13,13,1,0.0333333333333333,0.769230769230769,0.869565217391304,0.32506997474541,82.2705194639801,0.9,1,18.9339323574117,99.9796192367178,5.28044662616431,6.09821393282347e-05,0.568457797042898,0.150787223809674,27,-196356.155420064,-196231.815825042,"mean_and_concentration",5,1000,100,10,0.95,20,100,81.2403840463596
"Separate 2D path/grid BIC",NA,NA,329.692979148728,0,0.984048002110176,98246.9026992615,TRUE,2,0.13,13,1,0.0333333333333333,0.769230769230769,0.869565217391304,0.363923265639987,82.6988749636261,1,1,18.7497044992838,99.9343434676083,5.32991565128003,0.000250089860043987,0.783774809678469,0.245878891313757,24,-196328.019271827,-196217.495187364,"mean_and_concentration",5,1000,100,10,0.95,20,100,81.2403840463596
"Separate 2D path/grid BIC + refit",NA,NA,329.692979148728,0,0.984048002110176,98271.3324062981,TRUE,2,0.13,13,1,0.0333333333333333,0.769230769230769,0.869565217391304,0.32506997474541,82.2705194639801,0.9,1,18.9339323574117,99.9796192367178,5.28044662616431,6.09821393282347e-05,0.568457797042898,0.150787223809674,27,-196356.155420064,-196231.815825042,"mean_and_concentration",5,1000,100,10,0.95,20,100,81.2403840463596
