"target_eB","n","kappa_pattern","method","reps","successful_reps","computational_failure_reps","zero_support_reps","selected_q_valid_n","selected_q_mean","selected_q_sd","selected_q_mcse","common_q_selected_valid_n","common_q_selected_mean","common_q_selected_sd","common_q_selected_mcse","decision_q_selected_valid_n","decision_q_selected_mean","decision_q_selected_sd","decision_q_selected_mcse","noise_q_selected_valid_n","noise_q_selected_mean","noise_q_selected_sd","noise_q_selected_mcse","TPR_valid_n","TPR_mean","TPR_sd","TPR_mcse","FPR_valid_n","FPR_mean","FPR_sd","FPR_mcse","Precision_valid_n","Precision_mean","Precision_sd","Precision_mcse","F1_all_valid_n","F1_all_mean","F1_all_sd","F1_all_mcse","ARI_all_valid_n","ARI_all_mean","ARI_all_sd","ARI_all_mcse","MSE_mu_valid_n","MSE_mu_mean","MSE_mu_sd","MSE_mu_mcse","MSE_kappa_valid_n","MSE_kappa_mean","MSE_kappa_sd","MSE_kappa_mcse","MSE_centered_eta_valid_n","MSE_centered_eta_mean","MSE_centered_eta_sd","MSE_centered_eta_mcse","loglik_valid_n","loglik_mean","loglik_sd","loglik_mcse","test_NLL_valid_n","test_NLL_mean","test_NLL_sd","test_NLL_mcse"
0.05,300,"heterogeneous","D-GL",100,100,0,0,100,47.61,22.5934177417345,2.25934177417345,100,4,0,0,100,16,0,0,100,27.61,22.5934177417345,2.25934177417345,100,1,0,0,100,0.17179347826087,0.122790313813775,0.0122790313813775,100,0.428296424850143,0.216632797204659,0.0216632797204659,100,0.569820905474716,0.200521746619449,0.0200521746619449,100,0.829476808837567,0.040621551477934,0.0040621551477934,100,0.000645115198989188,0.000315909500967049,3.15909500967049e-05,100,16.9297683750078,11.4512167887932,1.14512167887932,100,0.934817493394976,0.489879070897315,0.0489879070897315,100,74443.6501585067,93.632234622934,9.3632234622934,0,NA,NA,NA
0.05,300,"heterogeneous","D-AGL",100,100,0,0,100,71.45,26.2975879371689,2.62975879371689,100,4,0,0,100,16,0,0,100,51.45,26.2975879371689,2.62975879371689,100,1,0,0,100,0.301358695652174,0.14292167357157,0.014292167357157,100,0.275673228761066,0.164508362809258,0.0164508362809258,100,0.411306042700985,0.165294234297725,0.0165294234297725,100,0.808878038249541,0.0430547430470686,0.00430547430470686,100,0.000931650128715591,0.000309695489283965,3.09695489283965e-05,100,29.2804336020552,15.9859567552206,1.59859567552206,100,1.43921917124434,0.53094477259787,0.053094477259787,100,74514.7391460675,93.0694108935908,9.30694108935908,0,NA,NA,NA
0.05,300,"heterogeneous","E-L",100,100,0,0,100,197.95,1.57874134753741,0.157874134753741,100,3.98,0.14070529413629,0.014070529413629,100,16,0,0,100,177.97,1.56640874730588,0.156640874730588,100,1,0,0,100,0.988858695652174,0.008580116019225,0.0008580116019225,100,0.080833619942821,0.000649500091212367,6.49500091212367e-05,100,0.149575774025295,0.00111132933549379,0.000111132933549379,100,0.750027452782229,0.0493127070482097,0.00493127070482097,100,0.0016307548841286,0.000183091644160517,1.83091644160517e-05,100,78.114729520061,19.8402944226608,1.98402944226608,100,2.91780353134349,0.306034418185664,0.0306034418185664,100,74714.0443123789,58.5714044337494,5.85714044337494,0,NA,NA,NA
0.05,300,"heterogeneous","E-CGL",100,100,0,0,100,16.3,0.979589689408764,0.0979589689408764,100,0,0,0,100,16,0,0,100,0.3,0.979589689408764,0.0979589689408764,100,1,0,0,100,0.0016304347826087,0.00532385700765633,0.000532385700765633,100,0.984274509803922,0.0454985331439581,0.00454985331439581,100,0.991487819370172,0.025917480487815,0.0025917480487815,100,0.857044031903177,0.0360491246640708,0.00360491246640708,100,0.000496128898154096,5.26505896763701e-05,5.26505896763701e-06,100,8.56790066765804,4.54241371341259,0.454241371341259,100,0.218166030044811,0.0625746178754419,0.00625746178754419,100,74417.8874163479,60.5451104508681,6.05451104508681,100,-247.209962105569,0.0805198509925718,0.00805198509925718
0.05,300,"heterogeneous","E-ACGL",100,100,0,0,100,17.14,3.4466203619186,0.34466203619186,100,0.02,0.14070529413629,0.014070529413629,100,16,0,0,100,1.12,3.38827449307225,0.338827449307225,100,1,0,0,100,0.00619565217391305,0.0187316324017315,0.00187316324017315,100,0.955649718173238,0.113473046701159,0.0113473046701159,100,0.973113625001065,0.0734858359403465,0.00734858359403465,100,0.856563193833564,0.0357324254938729,0.00357324254938729,100,0.000510108848904907,7.09046786272316e-05,7.09046786272316e-06,100,9.02522830897333,4.98726536891665,0.498726536891665,100,0.249138088793135,0.132752685887126,0.0132752685887126,100,74421.6878711213,61.2266183749053,6.12266183749053,100,-247.197349185339,0.0912028721224944,0.00912028721224944
0.05,1000,"equal","D-L",100,100,0,0,100,199.58,0.684311937849128,0.0684311937849128,100,4,0,0,100,16,0,0,100,179.58,0.684311937849128,0.0684311937849128,100,1,0,0,100,0.997717391304348,0.00371908661874531,0.000371908661874531,100,0.0801692921357029,0.00027650941051612,2.7650941051612e-05,100,0.148438264027563,0.000473766578003412,4.73766578003412e-05,100,0.840340084796976,0.0185461505566155,0.00185461505566155,100,0.000427933573203377,2.42461116119799e-05,2.42461116119799e-06,100,6.20422381902863,2.76546387556162,0.276546387556162,100,0.724969107589871,0.0481162251733087,0.00481162251733087,100,247844.659251674,104.439743824925,10.4439743824925,0,NA,NA,NA
0.05,1000,"equal","D-GL",100,100,0,0,100,20,0,0,100,4,0,0,100,16,0,0,100,0,0,0,100,1,0,0,100,0.0217391304347826,0,0,100,0.8,0,0,100,0.888888888888889,0,0,100,0.867721768621667,0.0170053660250523,0.00170053660250523,100,4.23234063258077e-05,5.9758806068512e-06,5.9758806068512e-07,100,1.23893122077209,1.01653418082982,0.101653418082982,100,0.0694505032138406,0.0111783785184813,0.00111783785184813,100,247480.928117664,102.712378956668,10.2712378956668,0,NA,NA,NA
0.05,1000,"equal","D-AGL",100,100,0,0,100,20,0,0,100,4,0,0,100,16,0,0,100,0,0,0,100,1,0,0,100,0.0217391304347826,0,0,100,0.8,0,0,100,0.888888888888889,0,0,100,0.867745471732189,0.0170093601859784,0.00170093601859784,100,4.22832261860848e-05,5.97277693884345e-06,5.97277693884345e-07,100,1.23802449535634,1.01560630041553,0.101560630041553,100,0.0693663595417587,0.0111643620981399,0.00111643620981399,100,247480.928266686,102.712341211876,10.2712341211876,0,NA,NA,NA
0.05,1000,"equal","E-L",100,100,0,0,100,197.54,1.64175318953658,0.164175318953658,100,3.9,0.333333333333333,0.0333333333333333,100,16,0,0,100,177.64,1.59240622196649,0.159240622196649,100,1,0,0,100,0.986630434782609,0.00892257168226399,0.000892257168226399,100,0.0810018256467901,0.000677208504614307,6.77208504614307e-05,100,0.149863645684223,0.00115851561798228,0.000115851561798228,100,0.839924674841134,0.0186614376566007,0.00186614376566007,100,0.000428342365032091,2.42190038015237e-05,2.42190038015237e-06,100,6.15420838309722,2.74903412064444,0.274903412064444,100,0.725454141726861,0.0480257165391351,0.00480257165391351,100,247844.566780332,104.434548485825,10.4434548485825,0,NA,NA,NA
0.05,1000,"equal","E-CGL",100,100,0,0,100,16.09,0.320825954263823,0.0320825954263823,100,0,0,0,100,16,0,0,100,0.09,0.320825954263823,0.0320825954263823,100,1,0,0,100,0.000489130434782609,0.00174361931665121,0.000174361931665121,100,0.994771241830065,0.0184864517957268,0.00184864517957268,100,0.99729055258467,0.00961586053111811,0.000961586053111811,100,0.867988466896158,0.0175752946831181,0.00175752946831181,100,0.000128297552956289,1.07220809397413e-05,1.07220809397413e-06,100,1.28855719739789,1.06073035991206,0.106073035991206,100,0.0579631007450063,0.0129625921926137,0.00129625921926137,100,247566.230006604,102.942560020453,10.2942560020453,100,-247.314549144349,0.0623098829281517,0.00623098829281517
0.05,1000,"equal","E-ACGL",100,100,0,0,100,16.11,0.34509550720186,0.034509550720186,100,0,0,0,100,16,0,0,100,0.11,0.34509550720186,0.034509550720186,100,1,0,0,100,0.000597826086956521,0.00187551906087967,0.000187551906087967,100,0.99359477124183,0.0199455956962145,0.00199455956962145,100,0.99668449197861,0.0103598930800534,0.00103598930800534,100,0.867689118003853,0.0176291163806695,0.00176291163806695,100,0.000128441250121803,1.08108540840038e-05,1.08108540840038e-06,100,1.29619377468316,1.06124333144142,0.106124333144142,100,0.0582760282487581,0.0130894677111606,0.00130894677111606,100,247566.351425442,102.611667330247,10.2611667330247,100,-247.314451466529,0.0623226644202127,0.00623226644202127
0.05,1000,"heterogeneous","D-L",100,100,0,0,100,199.73,0.509604719068583,0.0509604719068583,100,4,0,0,100,16,0,0,100,179.73,0.509604719068583,0.0509604719068583,100,1,0,0,100,0.998532608695652,0.00276959086450325,0.000276959086450325,100,0.0801086645347952,0.000205284708811342,2.05284708811342e-05,100,0.148334387854492,0.000351812404530992,3.51812404530992e-05,100,0.834883934550706,0.0211418836843584,0.00211418836843584,100,0.000527822257993344,3.29798016832092e-05,3.29798016832092e-06,100,7.07024630096963,2.69206076993716,0.269206076993716,100,0.73955582448257,0.0457890778498666,0.00457890778498666,100,248026.160390008,127.693352110809,12.7693352110809,0,NA,NA,NA
0.05,1000,"heterogeneous","D-GL",100,100,0,0,100,20.01,0.1,0.01,100,4,0,0,100,16,0,0,100,0.01,0.1,0.01,100,1,0,0,100,0.0217934782608696,0.00054347826086957,5.4347826086957e-05,100,0.799619047619048,0.00380952380952381,0.000380952380952381,100,0.888648648648649,0.00240240240240239,0.000240240240240239,100,0.869406030386113,0.019688912627764,0.0019688912627764,100,5.23095873089533e-05,9.85314827689536e-06,9.85314827689535e-07,100,1.23505074484852,0.888502819262444,0.0888502819262444,100,0.0693039722850747,0.0125683932671544,0.00125683932671544,100,247660.229357165,124.892698001801,12.4892698001801,0,NA,NA,NA
0.05,1000,"heterogeneous","D-AGL",100,100,0,0,100,20,0,0,100,4,0,0,100,16,0,0,100,0,0,0,100,1,0,0,100,0.0217391304347826,0,0,100,0.8,0,0,100,0.888888888888889,0,0,100,0.869408106704278,0.0195901037238287,0.00195901037238287,100,5.20328338457178e-05,9.64297273133969e-06,9.64297273133969e-07,100,1.23315015626472,0.8850029473262,0.08850029473262,100,0.0690590064682323,0.0125115900683056,0.00125115900683056,100,247660.10431295,124.780741547319,12.4780741547319,0,NA,NA,NA
0.05,1000,"heterogeneous","E-L",100,100,0,0,100,198.15,1.52669842497072,0.152669842497072,100,3.99,0.1,0.01,100,16,0,0,100,178.16,1.52235861661297,0.152235861661297,100,1,0,0,100,0.989945652173913,0.00829727404875389,0.000829727404875389,100,0.0807516890088093,0.000626712711329968,6.26712711329968e-05,100,0.149435540301369,0.00107251822231105,0.000107251822231105,100,0.834399088756289,0.0214508994127993,0.00214508994127993,100,0.000529146665408355,3.32559919837618e-05,3.32559919837618e-06,100,7.03656015312097,2.67450703419537,0.267450703419537,100,0.740807868028394,0.0459369191544228,0.00459369191544228,100,248026.112908951,127.686129310167,12.7686129310167,0,NA,NA,NA
0.05,1000,"heterogeneous","E-CGL",100,100,0,0,100,16.06,0.238683256575942,0.0238683256575942,100,0,0,0,100,16,0,0,100,0.06,0.238683256575942,0.0238683256575942,100,1,0,0,100,0.000326086956521739,0.00129719161182577,0.000129719161182577,100,0.996470588235294,0.0140401915632908,0.00140401915632908,100,0.998181818181818,0.00723282595684667,0.000723282595684667,100,0.86989195786906,0.0191899433203421,0.00191899433203421,100,0.00015656632789885,1.35238059126427e-05,1.35238059126427e-06,100,1.26467867199828,0.921113936700511,0.0921113936700511,100,0.0555347130254192,0.0117797958817466,0.00117797958817466,100,247745.739778484,125.779411600294,12.5779411600294,100,-247.513919365777,0.075962286825643,0.0075962286825643
0.05,1000,"heterogeneous","E-ACGL",100,100,0,0,100,16.04,0.196946385566932,0.0196946385566932,100,0,0,0,100,16,0,0,100,0.04,0.196946385566932,0.0196946385566932,100,1,0,0,100,0.000217391304347826,0.00107036079112463,0.000107036079112463,100,0.997647058823529,0.0115850815039373,0.00115850815039373,100,0.998787878787879,0.00596807228990699,0.000596807228990699,100,0.869777702950986,0.0193770393404995,0.00193770393404995,100,0.000156559209870485,1.38582466342376e-05,1.38582466342376e-06,100,1.26102255040511,0.924844622475508,0.0924844622475508,100,0.0553051771988186,0.011819108207979,0.0011819108207979,100,247745.622758765,125.779391410886,12.5779391410886,100,-247.514041496162,0.0761744391310029,0.00761744391310029
