"phase","cell_id","method","planned_reps","completed_reps","valid_reps","error_reps","missing_reps","completion_rate","support_target","selector","selected_q","selected_q_sd","selected_eta_only_q","selected_eta_only_q_sd","selected_mu_only_q","selected_mu_only_q_sd","selected_both_q","selected_both_q_sd","selected_null_q","selected_null_q_sd","TPR_P","TPR_P_sd","FPR_P","FPR_P_sd","Precision_P","Precision_P_sd","F1_P","F1_P_sd","TPR_mu","TPR_mu_sd","FPR_mu","FPR_mu_sd","Precision_mu","Precision_mu_sd","F1_mu","F1_mu_sd","TPR_eta","TPR_eta_sd","FPR_eta","FPR_eta_sd","Precision_eta","Precision_eta_sd","F1_eta","F1_eta_sd","exact_P","exact_P_sd","exact_mu","exact_mu_sd","exact_eta","exact_eta_sd","ARI","ARI_sd","NMI","NMI_sd","classification_error","classification_error_sd","Bayes_excess_error","Bayes_excess_error_sd","test_NLL","test_NLL_sd","MSE_mu","MSE_mu_sd","MSE_kappa","MSE_kappa_sd","MSE_eta","MSE_eta_sd","train_loglik","train_loglik_sd","converged","converged_sd","iter","iter_sd","elapsed_sec","elapsed_sec_sd","elapsed_sec_median","elapsed_sec_total"
"core","C_eb050_heterogeneous_n600","Dense-free",100,100,100,0,0,1,"none","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.807341365171288,0.0122876556678676,0.771566350508792,0.0109562572337649,0.07879,0.00563684667203574,0.028435,0.00563684667203574,-246.932829742633,0.0680065518277702,0.000856333471429751,6.94739548619567e-05,19.719391666279,4.89209897033906,1.30372800375497,0.0938287392152654,149001.087668238,83.7260015549145,1,0,31.7,15.272937708988,4.40310000000001,1.03230613167557,4.2850000000001,440.310000000001
"core","C_eb050_heterogeneous_n600","Dense-shared",100,100,100,0,0,1,"none","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.736620470411657,0.0171854425911083,0.710183504545475,0.0135214906845241,0.11269,0.0085907808231566,0.062335,0.0085907808231566,-246.703972427667,0.0731952141415565,0.000924246680301018,8.04338338751691e-05,141.030419729765,5.37204394454277,1.90020269583986,0.118408725300601,148905.06311193,81.9910891545582,1,0,43.05,18.9541578818501,1.97600000000001,0.503181795370133,1.93500000000006,197.600000000001
"core","C_eb050_heterogeneous_n600","E-ACGL",100,100,100,0,0,1,"S_eta","BIC-after-refit",16.06,0.277797979063414,0,0,0,0,16,0,0.06,0.277797979063414,0.8,0,0.000333333333333333,0.00154332210590786,0.996535947712418,0.0158867658655656,0.887460091670618,0.00658524246094309,0.8,0,0.000333333333333333,0.00154332210590786,0.996535947712418,0.0158867658655656,0.887460091670618,0.00658524246094309,1,0,0.000326086956521739,0.00150977162534464,0.996535947712418,0.0158867658655656,0.998199643493761,0.00829334273584588,0,0,0,0,0.95,0.21904291355759,0.866436725732823,0.0078972629117871,0.829090539653697,0.00786277864848594,0.052968,0.00327805313001976,0.002613,0.00327805313001976,-247.434039702972,0.0544644465688121,0.000258031715864592,2.60970751397123e-05,2.96713660642571,1.7672641935868,0.0994524405153498,0.0245412342103502,148715.296282552,85.8588289552622,1,0,4.38,0.762505174680239,40.5305,2.00970542843744,40.1400000000001,4053.05
"core","C_eb050_heterogeneous_n600","E-CGL",100,100,100,0,0,1,"S_eta","BIC-after-refit",16.06,0.277797979063414,0,0,0,0,16,0,0.06,0.277797979063414,0.8,0,0.000333333333333333,0.00154332210590786,0.996535947712418,0.0158867658655656,0.887460091670618,0.00658524246094309,0.8,0,0.000333333333333333,0.00154332210590786,0.996535947712418,0.0158867658655656,0.887460091670618,0.00658524246094309,1,0,0.000326086956521739,0.00150977162534464,0.996535947712418,0.0158867658655656,0.998199643493761,0.00829334273584588,0,0,0,0,0.95,0.21904291355759,0.866416558171795,0.00792188831739083,0.829086625154725,0.00787583705159565,0.052978,0.00329369093874941,0.002623,0.00329369093874941,-247.434026292883,0.0544683732654668,0.000258003034399999,2.60779774231067e-05,2.97579108888386,1.77201296677166,0.0994674128045382,0.0245311706244941,148715.295994395,85.8588242465194,1,0,8.76,1.31133365685319,45.1051,2.95852935586158,44.8100000000001,4510.51
"core","C_eb050_heterogeneous_n600","M-L",100,100,100,0,0,1,"S_P","BIC-after-refit",199.93,0.256432399976243,0,0,4,0,16,0,179.93,0.256432399976243,1,0,0.999611111111111,0.00142462444431257,0.100035175879397,0.000128860502500607,0.181876297218763,0.000212895309237183,1,0,0.999611111111111,0.00142462444431257,0.100035175879397,0.000128860502500607,0.181876297218763,0.000212895309237183,1,0,0.999619565217391,0.00139365434769706,0.0800281407035176,0.00010308840200051,0.14819638242894,0.000176697605496263,0,0,0,0,0,0,0.809001692253174,0.0119671497925399,0.77305214841605,0.0108040912377647,0.077982,0.00540931445086,0.027627,0.00540931445086,-246.938644894503,0.0682572843725283,0.000845701770207287,6.70311763086448e-05,19.5109258645934,4.96125187736003,1.28718007490632,0.0922028423337117,149000.231989811,83.7488385671754,1,0,9.79,2.33244571861877,16.8278,2.85740561143897,16.535,1682.78
"core","C_eb050_heterogeneous_n600","Spherical k-means",100,100,100,0,0,1,"none","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.729947845439238,0.0255933057292445,0.702666498449687,0.0212373043007872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,16.8,7.21390352308679,0.147499999999981,0.0328256797724838,0.139999999999986,14.7499999999981
"core","D_beta_min_n1000","Dense-free",100,100,100,0,0,1,"none","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.836519452321119,0.0087750910764608,0.799144294891257,0.00870114869093066,0.065782,0.00375395764224878,0.014892,0.00375395764224877,-247.224092641574,0.0510796366887369,0.000525156509401411,3.59579765376493e-05,7.54405389305112,2.41120932114292,0.750354464143447,0.0452353973338537,248036.675404574,109.520168221757,1,0,16.4,6.5242360905823,4.7069,1.06294967430309,4.66000000000008,470.69
"core","D_beta_min_n1000","Dense-shared",100,100,100,0,0,1,"none","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.767785473971466,0.0117968277420266,0.73940288652305,0.0097440061608791,0.097308,0.00541605693537953,0.046418,0.00541605693537953,-247.006404941559,0.0513627916559938,0.000564729996999095,4.02463970434701e-05,130.615489343988,2.45604671231857,1.26906298530595,0.0538232076474099,247865.14107784,103.009545376104,1,0,22.77,12.27862970672,1.6277,0.315091312723059,1.55999999999998,162.77
"core","D_beta_min_n1000","E-ACGL",100,100,100,0,0,1,"S_eta","BIC-after-refit",15.8,0.426401432711221,0,0,0,0,15.8,0.426401432711221,0,0,0.79,0.0213200716355611,0,0,1,0,0.882521008403361,0.0136172278847706,0.79,0.0213200716355611,0,0,1,0,0.882521008403361,0.0136172278847706,0.9875,0.0266500895444513,0,0,1,0,0.99352688172043,0.0138479504708964,0,0,0,0,0.81,0.394277244403663,0.8688628009071,0.00811625024656652,0.831731296836045,0.00875334421094639,0.051942,0.0033403919203917,0.001052,0.0033403919203917,-247.51380689018,0.0469020326337653,0.000161143637891387,2.37576691410404e-05,1.48382975501198,0.915393162831309,0.0653095296634315,0.0242375212004492,247750.165606292,111.134426851196,1,0,5.41,0.964993327029841,37.5646,1.78898956865815,37.52,3756.46
"core","D_beta_min_n1000","E-CGL",100,100,100,0,0,1,"S_eta","BIC-after-refit",15.99,0.265718009562883,0,0,0,0,15.96,0.196946385566932,0.03,0.171446607997765,0.798,0.00984731927834663,0.000166666666666667,0.000952481155543141,0.998235294117647,0.0100850945881039,0.886898326898327,0.00736252427999214,0.798,0.00984731927834663,0.000166666666666667,0.000952481155543141,0.998235294117647,0.0100850945881039,0.886898326898327,0.00736252427999214,0.9975,0.0123091490979333,0.000163043478260869,0.000931775043466115,0.998235294117647,0.0100850945881039,0.997800586510264,0.00806126157010451,0,0,0,0,0.93,0.256432399976243,0.869443234087378,0.00799433971797476,0.832322791731712,0.00859998094280674,0.051694,0.00327493758133131,0.000804000000000002,0.00327493758133131,-247.516357327246,0.0456106383938131,0.000155213643993534,1.71176932106192e-05,1.5033709925534,0.931041933387891,0.058981230100371,0.0160515649605632,247752.372323161,110.912164213081,1,0,7.12,1.00784799238654,43.8891,2.14866324194202,43.6300000000001,4388.91
"core","D_beta_min_n1000","M-L",100,100,100,0,0,1,"S_P","BIC-after-refit",199.72,0.55194788218315,0,0,4,0,16,0,179.72,0.55194788218315,1,0,0.998444444444444,0.00306637712323985,0.100140958084789,0.00027844510604477,0.182051025308372,0.000459864387992435,1,0,0.998444444444444,0.00306637712323985,0.100140958084789,0.00027844510604477,0.182051025308372,0.000459864387992435,1,0,0.998478260869565,0.00299971675099547,0.0801127664678311,0.000222756084835838,0.148341408169529,0.000381700934931806,0,0,0,0,0,0,0.837503286841708,0.00898468008447317,0.800063818470191,0.00895035670109355,0.06533,0.00379913599959706,0.01444,0.00379913599959706,-247.22812371787,0.0508232535172772,0.00051805204754377,3.5515622608021e-05,7.40514252592345,2.40303632430601,0.739636098314565,0.0447698821032908,248034.48316343,109.700955412159,1,0,6.79,0.987753291898623,29.2417,2.34986225901939,29.4600000000001,2924.17
