"phase","cell_id","method","target","planned_reps","completed_reps","completion_rate","candidate_count","candidate_count_sd","min_path_q","min_path_q_sd","max_path_q","max_path_q_sd","exact_target_candidate","exact_target_candidate_sd","BIC_q","BIC_q_sd","BIC_target_F1","BIC_target_F1_sd","BIC_exact_target","BIC_exact_target_sd","EBIC_g05_q","EBIC_g05_q_sd","EBIC_g05_target_F1","EBIC_g05_target_F1_sd","EBIC_g1_q","EBIC_g1_q_sd","EBIC_g1_target_F1","EBIC_g1_target_F1_sd","path_oracle_q","path_oracle_q_sd","path_oracle_F1","path_oracle_F1_sd","BIC_to_oracle_F1_gap","BIC_to_oracle_F1_gap_sd","path_oracle_BIC_gap","path_oracle_BIC_gap_sd"
"core","D_beta_min_n1000","E-ACGL","truth_F1_eta",100,100,1,14.35,0.770346898114313,3.07,0.256432399976243,200,0,0.81,0.394277244403663,15.8,0.426401432711221,0.99352688172043,0.0138479504708964,0.81,0.394277244403663,15.8,0.426401432711221,0.99352688172043,0.0138479504708964,15.79,0.456048021572069,0.993182795698925,0.0148838492184452,15.8,0.426401432711221,0.99352688172043,0.0138479504708964,0,0,0,0
"core","D_highdim_n300_d500","E-ACGL","truth_F1_eta",100,100,1,114.41,6.88739882874969,30.84,3.14857671869932,500,0,0,0,36.71,4.05092582010582,0.889138434236972,0.0410348199970984,0,0,35.05,3.62754612776887,0.885986052495545,0.0421627989788723,34.5,3.71592260523289,0.88353927759126,0.0426094981718598,36.31,4.27039373199505,0.896728536127343,0.0384784565957575,0.00759010189037084,0.0112732778143174,17.9957623068313,40.8796486046265
"core","D_moderately_dense_n1000","E-ACGL","truth_F1_eta",100,100,1,67.34,4.86840981650211,61.46,2.37588898832595,200,0,0.02,0.14070529413629,67.47,3.24256725824499,0.913036724112214,0.023673028253381,0,0,67.15,3.2267036060996,0.910815296068403,0.0234650157578889,66.89,3.23145837545886,0.909028608714243,0.0231467525807145,79.54,3.0827640752147,0.968889648356259,0.0143425062254224,0.0558529242440448,0.0233568768478984,71.9901377188502,38.7856026777407
"core","D_moderately_dense_n300","E-ACGL","truth_F1_eta",100,100,1,83.55,6.83185497681577,54.1,6.05112895385329,200,0,0,0,57.97,6.03098899707405,0.796856533319119,0.0399964513274068,0,0,57.94,6.09821964414884,0.796546572118462,0.0406413545405034,57.85,6.10410525876651,0.79677008679299,0.0404241694090374,69.97,7.56447705603719,0.837810468637189,0.0260207618548713,0.04095393531807,0.0333458477833044,98.4498708670397,72.8304070792753
"core","D_strongly_dense_n1000","E-ACGL","truth_F1_eta",100,100,1,57.69,3.73001746685325,118.56,3.79345528908712,200,0,0,0,125.69,3.70283811434015,0.877837815868287,0.0143363641279403,0,0,125.72,3.70388821089242,0.877955579649765,0.0143365929778949,125.78,3.67788916185204,0.878193542359598,0.0142510910665445,162.12,5.91570414706107,0.957334878645676,0.0102543343023158,0.079497062777389,0.017021111537763,410.25988997656,100.5456131339
"core","A_eb025_equal_n1000","E-CGL","truth_F1_eta",100,100,1,81.5,3.55476632654857,2.2,4.52601905484814,200,0,1,0,16.02,0.14070529413629,0.999393939393939,0.00426379679200874,0.98,0.14070529413629,16.01,0.1,0.99969696969697,0.00303030303030301,16.01,0.1,0.99969696969697,0.00303030303030301,16,0,1,0,0.000606060606060601,0.00426379679200874,0.106444137549843,0.913545411690513
"core","A_eb025_equal_n300","E-CGL","truth_F1_eta",100,100,1,81.04,3.99474402158384,8.63,5.85973247226054,200,0,1,0,16.14,0.348735088019777,0.995757575757576,0.0105677299399932,0.86,0.348735088019777,16.06,0.238683256575942,0.998181818181818,0.00723282595684667,16.01,0.1,0.99969696969697,0.00303030303030301,16,0,1,0,0.00424242424242421,0.0105677299399932,0.374941496460233,1.12478434081777
"core","A_eb025_heterogeneous_n1000","E-CGL","truth_F1_eta",100,100,1,80.21,3.87244865503193,12.18,0.609354684328537,200,0,1,0,16.02,0.14070529413629,0.999393939393939,0.00426379679200874,0.98,0.14070529413629,16,0,1,0,16,0,1,0,16,0,1,0,0.000606060606060601,0.00426379679200874,0.0250530906801578,0.178946191775218
"core","A_eb025_heterogeneous_n300","E-CGL","truth_F1_eta",100,100,1,81.87,4.15034378520063,12.97,1.41031553171264,200,0,1,0,16.15,0.457816513022367,0.995524318818437,0.013479018727409,0.88,0.32659863237109,16.04,0.315268043724605,0.998839826839827,0.00906241669827155,16.03,0.3,0.999142857142857,0.0085714285714286,16,0,1,0,0.00447568118156352,0.013479018727409,0.280257158670574,1.53484756160207
"core","A_eb050_equal_n1000","E-CGL","truth_F1_eta",100,100,1,81.38,4.02963767576935,2.2,4.41759567130713,200,0,1,0,16.06,0.277797979063414,0.998199643493761,0.00829334273584588,0.95,0.21904291355759,16.02,0.14070529413629,0.999393939393939,0.00426379679200874,16.02,0.14070529413629,0.999393939393939,0.00426379679200874,16,0,1,0,0.00180035650623885,0.00829334273584588,0.126084067290067,0.711744680774287
"core","A_eb050_equal_n300","E-CGL","truth_F1_eta",100,100,1,81.5,4.59138411383845,6.59,5.71033972701973,200,0,1,0,16.26,0.524548868220603,0.992190985485103,0.0155676504053102,0.77,0.422952584681651,16.11,0.31446603773522,0.996666666666667,0.00952927387076417,16.03,0.171446607997765,0.999090909090909,0.005195351757508,16,0,1,0,0.00780901451489682,0.0155676504053102,0.537709304069867,1.4010365208167
"core","A_eb050_heterogeneous_n1000","E-CGL","truth_F1_eta",100,100,1,81.29,3.21390602214687,13.37,1.53514385862259,200,0,1,0,16.02,0.14070529413629,0.999393939393939,0.00426379679200874,0.98,0.14070529413629,16.01,0.1,0.99969696969697,0.00303030303030301,16.01,0.1,0.99969696969697,0.00303030303030301,16,0,1,0,0.000606060606060601,0.00426379679200874,0.0768717954703607,0.642362420799169
"core","A_eb050_heterogeneous_n300","E-CGL","truth_F1_eta",100,100,1,80.2,4.4585634321817,13.83,1.66396751133785,200,0,0.77,0.422952584681651,16.6,1.17206543065538,0.982748055522049,0.0324435812332528,0.69,0.464823198711732,16.54,1.15836875899611,0.984530586716345,0.0319851183732294,16.47,1.16735910187366,0.985343420940944,0.0318354721277695,16.22,0.718865548463464,0.989730106705439,0.0218259520705861,0.00698205118338945,0.0197775952383246,10.3434693086098,37.7758459152179
"core","A_eb100_equal_n1000","E-CGL","truth_F1_eta",100,100,1,80.48,3.95806298917319,1.41,3.43803737764746,200,0,1,0,16.02,0.14070529413629,0.999393939393939,0.00426379679200874,0.98,0.14070529413629,16.02,0.14070529413629,0.999393939393939,0.00426379679200874,16,0,1,0,16,0,1,0,0.000606060606060601,0.00426379679200874,0.06131010592042,0.431789950428246
"core","A_eb100_equal_n300","E-CGL","truth_F1_eta",100,100,1,78.08,4.95368447713315,6.05,5.63067895147161,200,0,0.88,0.32659863237109,16.28,0.533333333333333,0.991586452762923,0.0159315219110113,0.76,0.429234695990928,16.19,0.464823198711732,0.994295900178253,0.0138769865269434,16.13,0.441645225322889,0.995488471048243,0.0130003905845808,16.15,0.435194139889245,0.995508021390374,0.0129596492908161,0.00392156862745096,0.0101974608475464,0.243376535249408,0.7933130027789
"core","A_eb100_heterogeneous_n1000","E-CGL","truth_F1_eta",100,100,1,80.58,4.07302037184875,14.37,1.50188433830857,200,0,0.98,0.14070529413629,16.47,1.06794431058228,0.986459553518377,0.0287989596477917,0.72,0.451260859854213,16.46,1.06761321638409,0.986762583821407,0.0287802198384172,16.46,1.06761321638409,0.986762583821407,0.0287802198384172,16.02,0.14070529413629,0.999393939393939,0.00426379679200874,0.0129343858755623,0.0287582426666292,56.733016586242,101.456818352503
"core","A_eb100_heterogeneous_n300","E-CGL","truth_F1_eta",100,100,1,72.58,6.74376629476317,21.57,8.89018866759612,200,0,0.02,0.14070529413629,24.34,8.09192139848083,0.767818899991956,0.10967121862421,0.01,0.1,23.76,8.30859357970573,0.777743374373708,0.112783467362901,22.99,8.51201764826909,0.789341896527627,0.114739095177143,22.07,8.82518778236131,0.813858908321438,0.124472879665352,0.0460400083294821,0.0605590343039591,19.13885007298,27.044915861371
"core","B_crossed_support_n400","E-CGL","truth_F1_eta",100,100,1,17.04,0.98391097568876,5.69,0.971253485622231,24,0,0.69,0.464823198711732,11.87,0.733815268637038,0.97975649857389,0.0356263967244665,0.69,0.464823198711732,11.87,0.733815268637038,0.97975649857389,0.0356263967244665,11.87,0.733815268637038,0.97975649857389,0.0356263967244665,12.33,0.682464340282755,0.983739241917503,0.0262522215466381,0.00398274334361289,0.0136413012397789,1.96668572318391,5.0602885096458
"core","B_pure_concentration_n1000","E-CGL","truth_F1_eta",100,100,1,78.17,4.44052731421425,16,0,200,0,1,0,16.33,0.667499479816693,0.990194550547492,0.0196612079779952,0.77,0.422952584681651,16.28,0.636911740868832,0.9916918767507,0.0187398217414315,16.28,0.636911740868832,0.9916918767507,0.0187398217414315,16,0,1,0,0.00980544945250827,0.0196612079779952,4.35339750036714,10.4379024918538
"core","B_shared_canonical_n1000","E-CGL","truth_F1_eta",100,100,1,81.2,3.81385035698237,16.59,1.8645821694596,200,0,1,0,20.02,0.14070529413629,0.999512195121951,0.00343183644234853,0.98,0.14070529413629,20.01,0.1,0.999756097560976,0.0024390243902439,20,0,1,0,20,0,1,0,0.000487804878048781,0.00343183644234853,0.032132169889519,0.25938295304527
"core","C_eb050_equal_n2000","E-CGL","truth_F1_eta",100,100,1,79.92,4.04190174261692,1.56,4.61512664391715,200,0,1,0,16,0,1,0,1,0,16,0,1,0,16,0,1,0,16,0,1,0,0,0,0,0
"core","C_eb050_equal_n600","E-CGL","truth_F1_eta",100,100,1,81.49,3.64454760878868,3.82,5.55483227615034,200,0,1,0,16.02,0.14070529413629,0.999393939393939,0.00426379679200874,0.98,0.14070529413629,16.01,0.1,0.99969696969697,0.00303030303030301,16,0,1,0,16,0,1,0,0.000606060606060601,0.00426379679200874,0.0342001591000007,0.272179849446032
"core","C_eb050_heterogeneous_n2000","E-CGL","truth_F1_eta",100,100,1,79.59,3.59037715021808,13.11,1.42768442881571,200,0,1,0,16,0,1,0,1,0,16,0,1,0,16,0,1,0,16,0,1,0,0,0,0,0
"core","C_eb050_heterogeneous_n600","E-CGL","truth_F1_eta",100,100,1,81.31,4.17954373808743,13.46,1.52036678190335,200,0,1,0,16.06,0.277797979063414,0.998199643493761,0.00829334273584588,0.95,0.21904291355759,16,0,1,0,16,0,1,0,16,0,1,0,0.00180035650623885,0.00829334273584588,0.0619297979900148,0.339611868687205
"core","D_beta_min_n1000","E-CGL","truth_F1_eta",100,100,1,86.36,3.95050182210623,3.83,1.30310429670108,200,0,0.98,0.14070529413629,15.99,0.265718009562883,0.997800586510264,0.00806126157010451,0.93,0.256432399976243,15.88,0.356186309210063,0.99610752688172,0.0116059619867101,15.82,0.435310176190437,0.994150537634409,0.0142259636235422,16,0.14213381090374,0.999374389051808,0.00440353102809412,0.00157380254154447,0.0068106594291223,0.155981838270673,0.910400090518199
"core","D_highdim_n300_d500","E-CGL","truth_F1_eta",100,100,1,93.02,7.804401762383,46.99,20.0234685539068,500,0,0.01,0.1,55.71,20.1711339905481,0.80358216274865,0.116950495563304,0.01,0.1,54.53,19.822676026422,0.803750950518796,0.114818795113266,53.13,19.5110199372021,0.807901600324593,0.111812155095469,51.41,18.8508741056073,0.820630031487309,0.109826083175293,0.0170478687386587,0.0236001024283855,52.8162345181993,70.2667313884512
"core","D_moderately_dense_n1000","E-CGL","truth_F1_eta",100,100,1,63.75,4.10561330449674,76.28,6.49021018787745,200,0,0,0,87.84,9.99466524368542,0.890219051886966,0.0288993088039389,0,0,87.39,10.1053990969724,0.890315906435229,0.0288697875715706,87.15,10.1358200696761,0.890590238844393,0.0285411900610261,80.15,6.28188834763252,0.917611865209197,0.0207154816665876,0.0273928133222306,0.0218066131645565,106.410682045296,85.863170664115
"core","D_moderately_dense_n300","E-CGL","truth_F1_eta",100,100,1,51.94,4.91302124743805,82.39,8.2301429225289,200,0,0,0,88.4,9.87190688036235,0.7922737151002,0.0292891775868891,0,0,88.25,10.0064373219837,0.792036557835782,0.0291059346719063,88.11,10.0933971816563,0.792247285073804,0.0292745856068567,85.13,8.09870297634071,0.810348089861457,0.0298945046426403,0.0180743747612567,0.016927406422085,56.2741103513699,46.167671064336
"core","D_strongly_dense_n1000","E-CGL","truth_F1_eta",100,100,1,37.51,4.04393797472641,141.18,5.99558760315206,200,0,0,0,153.96,6.13142262728182,0.92354606830549,0.0148061541865052,0,0,154.32,6.32596062094744,0.923508180546692,0.0147475356168046,154.49,6.1946457819343,0.92371498511474,0.0145945687312857,166.9,7.42300546281694,0.942169493377126,0.0121899093991611,0.018623425071636,0.0123039257656838,177.38822259483,106.381322717237
"mcgl","A_eb050_equal_n1000","M-CGL","truth_F1_mu",100,100,1,44.92,2.76588159726714,0,0,200,0,1,0,16.04,0.196946385566932,0.998787878787879,0.00596807228990699,0.96,0.196946385566932,16.01,0.1,0.99969696969697,0.00303030303030301,16.01,0.1,0.99969696969697,0.00303030303030301,16,0,1,0,0.0012121212121212,0.00596807228990699,0.102862506319652,0.584970837520121
"mcgl","A_eb050_equal_n300","M-CGL","truth_F1_mu",100,100,1,45.06,2.80266828129008,0.48,2.74314572796424,200,0,0.99,0.1,16.23,0.489382212074519,0.993082251082251,0.0145390059396261,0.79,0.409360180740332,16.1,0.301511344577764,0.996969696969697,0.00913670741144731,16.04,0.196946385566932,0.998787878787879,0.00596807228990699,16.01,0.1,0.99969696969697,0.00303030303030301,0.00661471861471857,0.0143613847443328,0.520903891390481,1.37775941923944
"mcgl","A_eb050_heterogeneous_n1000","M-CGL","truth_F1_mu",100,100,1,49.38,3.11652487118702,0,0,200,0,0.98,0.14070529413629,20.04,0.196946385566932,0.999024390243902,0.00480357037968128,0.96,0.196946385566932,20.04,0.196946385566932,0.999024390243902,0.00480357037968128,20.03,0.171446607997765,0.999268292682927,0.00418162458531135,20.02,0.14070529413629,0.999512195121951,0.00343183644234853,0.000487804878048781,0.00343183644234853,0.101537741490174,0.759525519669
"mcgl","A_eb050_heterogeneous_n300","M-CGL","truth_F1_mu",100,100,1,47.88,3.21071438603418,0,0,200,0,0.11,0.31446603773522,20.73,4.12397523236643,0.89738332535734,0.0603595415314996,0.08,0.272659924344291,19.86,3.84817941999653,0.900875754555338,0.0583788489357091,18.96,3.46095099910152,0.903223517943656,0.0554566402477584,18.86,3.11730264131922,0.911853586103209,0.0482626682843495,0.0144702607458699,0.025160978015564,8.77534968473046,18.5950843675775
"mcgl","B_crossed_support_n400","M-CGL","truth_F1_mu",100,100,1,16.12,1.42332659142538,0,0,24,0,0.99,0.1,11.67,0.586979943903925,0.983029249011858,0.0241006987967882,0.64,0.482418151324422,11.67,0.586979943903925,0.983029249011858,0.0241006987967882,11.65,0.609271795844942,0.982120158102767,0.0251459882255123,12.01,0.1,0.9996,0.004,0.0165707509881422,0.0240465005425428,1.26839930933069,2.25179041316769
"mcgl_pure","B_pure_concentration_n1000","M-CGL","truth_F1_mu",100,100,1,56.01,4.30525870596095,0,0,200,0,1,0,0.77,0.446196043338474,0.24,0.429234695990928,0.24,0.429234695990928,0.5,0.502518907629606,0.5,0.502518907629606,0.03,0.171446607997765,0.97,0.171446607997765,0,0,1,0,0.76,0.429234695990928,4.53781555548601,3.62796952635823
"mcgl","B_shared_canonical_n1000","M-CGL","truth_F1_mu",100,100,1,49.21,3.30990249787732,0,0,200,0,0,0,21.16,1.81864640529014,0.347815168445873,0.0218981326224,0,0,21.1,1.82850604139947,0.347157172691007,0.0220399972688043,21.07,1.83817542386163,0.346743949550511,0.0221670880178782,132.97,28.8666229266937,0.708789224748134,0.0218226555975448,0.360974056302261,0.0310918454037061,1747.70862890837,541.378590016915
"mcgl","C_eb050_equal_n2000","M-CGL","truth_F1_mu",100,100,1,43.14,3.06501932038665,0,0,200,0,1,0,16,0,1,0,1,0,16,0,1,0,16,0,1,0,16,0,1,0,0,0,0,0
"mcgl","C_eb050_equal_n600","M-CGL","truth_F1_mu",100,100,1,44.72,2.51492514497917,0.16,1.6,200,0,1,0,16.03,0.171446607997765,0.999090909090909,0.005195351757508,0.97,0.171446607997765,16.01,0.1,0.99969696969697,0.00303030303030301,16,0,1,0,16,0,1,0,0.000909090909090902,0.005195351757508,0.0318639022903517,0.252101422486507
"mcgl","C_eb050_heterogeneous_n2000","M-CGL","truth_F1_mu",100,100,1,49.72,3.41144834314984,0,0,200,0,1,0,20,0,1,0,1,0,20,0,1,0,20,0,1,0,20,0,1,0,0,0,0,0
"mcgl","C_eb050_heterogeneous_n600","M-CGL","truth_F1_mu",100,100,1,49.12,3.33115080063417,0,0,200,0,0.72,0.451260859854213,20.39,0.802710056211727,0.99021072936643,0.0190601556172207,0.72,0.451260859854213,20.39,0.802710056211727,0.99021072936643,0.0190601556172207,20.39,0.802710056211727,0.99021072936643,0.0190601556172207,20.32,0.736905898354941,0.990767127227706,0.0172173856133313,0.00055639786127591,0.0039269908455185,0.891428804100142,7.66982695928879
