"lambda_eta","iter","loglik","penalty","objective","objective_diff","decreased"
3.9433010378,9,28931.4609331207,21.1158223256069,28848.1948890301,22.443860607691,FALSE
3.9433010378,10,28917.14716782,10.1130786230087,28877.2682543906,29.0733653604511,FALSE
3.9433010378,11,28912.7252393655,5.35093005173896,28891.6249113393,14.3566569487666,FALSE
3.9433010378,12,28910.5038085753,3.18914103628124,28897.9280654173,6.30315407793023,FALSE
3.9433010378,13,28909.1391032034,0.532509207743139,28907.0392590919,9.11119367462015,FALSE
3.9433010378,14,28909.3584363049,0,28909.3584363049,2.31917721303034,FALSE
3.9433010378,15,28909.3666207369,0,28909.3666207369,0.00818443202297203,FALSE
3.9433010378,16,28909.3666207369,0,28909.3666207369,0,FALSE
14.8299403237,1,28909.3666207369,0,28909.3666207369,NA,FALSE
14.8299403237,2,28909.3666207369,0,28909.3666207369,0,FALSE
